call_id,caller_msisdn,receiver_msisdn,call_type,duration_sec,timestamp,cell_tower_id,imei
CDR-DEL-1001,9988776655,9876543210,OUTGOING,45,2025-03-12T13:05:00Z,TWR-DEL-091,358921098451001
CDR-DEL-1002,9876543210,9988776655,INCOMING,12,2025-03-12T14:15:00Z,TWR-DEL-091,863921045582001
CDR-HR-1003,9876543210,8877665544,OUTGOING,180,2025-07-19T21:50:00Z,TWR-HR-442,863921045582001
CDR-HR-1004,8877665544,9876543210,INCOMING,24,2025-07-19T22:10:00Z,TWR-HR-442,358921098451002
CDR-DEL-1005,9811023451,9876543210,OUTGOING,65,2026-10-14T10:30:00Z,TWR-DEL-101,358921098451003
CDR-DEL-1006,9876543210,9811023451,INCOMING,15,2026-10-14T11:05:00Z,TWR-DEL-101,863921045582001
CDR-DEL-2001,9999888877,9876543210,OUTGOING,30,2026-06-10T12:00:00Z,TWR-DEL-551,358921098451004
CDR-DEL-2002,9876543210,9999888877,INCOMING,10,2026-06-10T12:45:00Z,TWR-DEL-551,863921045582001
CDR-RJ-2003,9999888877,9876543210,OUTGOING,120,2026-09-01T23:00:00Z,TWR-RJ-081,358921098451004
CDR-RJ-2004,9876543210,9999888877,INCOMING,45,2026-11-02T08:15:00Z,TWR-RJ-910,863921045582001
CDR-HR-2005,9811023451,9876543210,OUTGOING,20,2026-08-05T10:05:00Z,TWR-HR-622,358921098451003
